Id,Name,Project,Score
196,projekt-detail_1098,TU0804,0.2752279157
1665,projekt-detail_853,TU1401,0.2741306826
575,projekt-detail_1468,IC1002,0.2733667924
518,projekt-detail_1413,IS1107,0.2720546801
342,projekt-detail_1241,TU0804,0.271916354
1699,projekt-detail_890,TD1001,0.2717315663
306,projekt-detail_1207,IS1204,0.2710805058
1144,projekt-detail_284,ES1002,0.2684611146
108,projekt-detail_1014,MP1106,0.2684001548
1235,projekt-detail_379,FA1202,0.2675586484
1094,projekt-detail_234,TU1401,0.2672536227
808,projekt-detail_1694,TU0702,0.2663073105
807,projekt-detail_1693,TU0702,0.2663073105
326,projekt-detail_1226,TU1401,0.266303754
1775,projekt-detail_972,IS0906,0.2662131197
358,projekt-detail_1257,IC0901,0.2660040534
464,projekt-detail_1360,ES1201,0.2654454103
650,projekt-detail_153,TU0804,0.2645948493
1560,projekt-detail_735,TD1006,0.2642026229
561,projekt-detail_1455,IS0906,0.2637690865
768,projekt-detail_1656,TU0903,0.2628374566
1525,projekt-detail_696,TU1204,0.2627325806
133,projekt-detail_1038,IS0703,0.2623321792
1695,projekt-detail_886,FA1308,0.2620900686
371,projekt-detail_1269,FP1206,0.2614412029
303,projekt-detail_1204,TD1001,0.2610386129
1634,projekt-detail_821,TU0804,0.2601986803
135,projekt-detail_103,IC1302,0.2598951449
158,projekt-detail_1061,IS1204,0.2593170942
97,projekt-detail_1002,ES1406,0.2580803418
69,projekt-detail_074,TD1203,0.2570893349
856,projekt-detail_173,FA1106,0.2558014745
1389,projekt-detail_545,IS1002,0.2554849651
572,projekt-detail_1465,FP1206,0.2539278035
867,projekt-detail_174,IS0902,0.2536877758
1330,projekt-detail_482,TU1004,0.2536522797
516,projekt-detail_1411,TD1203,0.2535472519
163,projekt-detail_1066,TU1204,0.2533885972
372,projekt-detail_126,TU0702,0.2531207305
1351,projekt-detail_506,FP1104,0.2526520429
1701,projekt-detail_892,IS1002,0.2525072559
38,projekt-detail_043,TU1204,0.25210505
1517,projekt-detail_687,FP1405,0.2520398817
830,projekt-detail_1715,TU1002,0.2519575892
1237,projekt-detail_381,TU1001,0.2503398729
1118,projekt-detail_258,IS1406,0.250331731
41,projekt-detail_046,ES1002,0.2502957849
710,projekt-detail_1601,IS0603,0.249855192
474,projekt-detail_136,TU1207,0.2497613332
565,projekt-detail_1459,TD1201,0.2496920164
696,projekt-detail_1587,IS1306,0.2490337591
908,projekt-detail_1788,IC0901,0.2486485162
1452,projekt-detail_614,TD1001,0.2485111395
417,projekt-detail_1317,TU0804,0.2484193811
1657,projekt-detail_845,TD1006,0.2476058252
956,projekt-detail_1834,ES0602,0.2469900043
1530,projekt-detail_701,TU0804,0.2469373569
279,projekt-detail_1180,FP0903,0.2459449854
1349,projekt-detail_504,TU1401,0.2458288596
560,projekt-detail_1454,TD1201,0.2455024046
931,projekt-detail_1810,TU0903,0.2449750342
1342,projekt-detail_496,TD1005,0.2448506621
473,projekt-detail_1369,FA1001,0.2447522556
1774,projekt-detail_970,IS0906,0.2447014692
1353,projekt-detail_508,IC1207,0.2445620602
1057,projekt-detail_195,IS1106,0.2442551602
1044,projekt-detail_1917,TD1203,0.2442227704
105,projekt-detail_1011,IS1007,0.243881466
1238,projekt-detail_383,IS1007,0.2438636809
1485,projekt-detail_650,TU0901,0.243698053
1360,projekt-detail_515,IS0906,0.2432995234
904,projekt-detail_1784,FA1302,0.242605675
422,projekt-detail_1321,IS1007,0.2424087716
1534,projekt-detail_705,IS1006,0.2421661251
1096,projekt-detail_236,IS0602,0.2398948758
612,projekt-detail_1501,TD1201,0.2397215865
932,projekt-detail_1811,TU1204,0.2394657041
1273,projekt-detail_419,IS1204,0.2389417716
220,projekt-detail_1120,IS0902,0.2370906382
1683,projekt-detail_874,ES1406,0.2368566691
190,projekt-detail_1092,IC1304,0.2368086127
375,projekt-detail_1273,FA0901,0.2368022487
1463,projekt-detail_625,IS1204,0.2356189382
