"","Name","Project","Score"
"260","Sophie de Seigneux Matthey","BM0702",0.188091650882158
"215","Oya Aran","TU1305",0.186954172283208
"210","Olin Silander","BM0901",0.185400452325486
"170","Lucio Isa","MP0701",0.185057819324896
"94","Emma Slack","BM1406",0.184350304860328
"241","Romain Felli","IS0802",0.184214559704432
"118","Gundela Bobeth","FP1302",0.183301707973907
"10","Alexandre Fort","BM0906",0.183010097014567
"188","Michael Jaeger","MP1207",0.182179891564783
"182","Martin Walter","MP1002",0.182037270183915
"74","Daniel Rankin","TD0803",0.181599436952677
"167","Lode Pollet","MP1001",0.181256107635609
"242","Romain Lachat","IC1205",0.181227935848551
"114","Gilles Wandeler","FA1407",0.180407716653489
"11","Alexandre Fürstenberg","CM1207",0.178798025477181
"76","Daniel Wegmann","BM0803",0.178794573795572
"144","Jens Teubner","TU0802",0.177866426343873
"245","Ruxandra Bachmann","BM1105",0.177559693368407
"92","Elodie Briefer","IS0602",0.175601840502794
"100","Fabio Zobi","MP1404",0.175525100645074
"89","Edmondo Benetti","FP1104",0.174870054159336
"112","Gijs Plomp","BM0601",0.174493780273235
"177","Mario Noti","FA1401",0.173833477574135
"277","Tobias Erb","CM1303",0.173096546937545
"47","Carlo Roggia","IS1306",0.172869936101045
"130","Jakov Cakareski","IC1105",0.171885084208072
"163","Krystyna Saunders","TU1304",0.171748652865794
"136","Janek Lobmaier","TD0904",0.171173158070687
"193","Michal Juricek","CM0601",0.170959767566419
"270","Tanja Stadler","FA1407",0.17025054511973
"106","Francesco Riva","MP1210",0.169899206224074
"195","Mihaiela Stuparu","MP1406",0.169789515893209
"2","Adrien Paschoud","IS0703",0.168992909657106
"214","Oscar Vadas","CM1207",0.168775001809047
"17","Ana Akrap","TU0901",0.168764993147221
"46","Camilla Bellone","CM1307",0.168566640301618
"261","Stefan Lüpold","FA0702",0.167079337121654
"293","Yolanda Schärli","BM1102",0.166641420118105
"55","Christian Parisod","BM1102",0.16630897235994
"262","Stefan Tilg","IS0901",0.166193676891023
"179","Markus Geuking","FA1401",0.165982848503552
"189","Michael Jucker","IS1003",0.165857624030265
"8","Alexander Eggel","BM1007",0.165551972234529
"248","Sandrine Zufferey","IC1207",0.165309903441271
"73","Daniel Berner","BM1102",0.164169501240699
"133","Jan Engelstädter","FA1202",0.163795747209849
"81","Dario Cazzoli","BM0601",0.162247475719915
"3","Ahmet Demirors","CM1402",0.16194292823338
"192","Michael Studer","ES1408",0.16161610113343
"131","James Storey","MP1405",0.161222596714224
"197","Muriel Pic","IS0704",0.15979380804617
"58","Christine Weder","IS0901",0.159362389339728
"158","Kaori Minehira Castelli","BM0602",0.159218452659176
"173","Marcel Hollenstein","MP0802",0.157577637430688
"165","Laura Ciobanu Radomirovic","CM1201",0.157198149256486
"269","Tamar Lewinsky","IS1101",0.156771684096063
"291","Yannis Burnier","MP1006",0.156541412051957
"128","Jacek Krol","TD0905",0.155113443612325
"16","Ameet Aiyangar","TD1005",0.15392964632655
"1","Adrian Egli","BM1406",0.153367082927017
"78","Daniele Baglioni","IS1407",0.15300506969837
"124","Ilja Voets","CM1402",0.15234584039288
"253","Sergio Rasmann","FA1405",0.151690934903745
"42","Bigna Lenggenhager","FP1105",0.15104367547243
"141","Jean-Nicolas Longchamp","CM1306",0.15063760400865
"45","Björn Burmann","CM1001",0.150350377768385
"132","Jan Cvengros","CM0905",0.150103286930469
"255","Silvia Stringhini","FA1403",0.15000511413596
"222","Péter Szövényi","BM1102",0.147429690514637
"152","Judith Domínguez Borràs","BM0601",0.147297259719037
"203","Nicolle Kränkel","BM1007",0.146608228823101
"137","Jason Mercer","TD1303",0.146540949646374
"62","Christoph Grüter","IC1002",0.145630948677286
"29","Andy Becue","IC1106",0.145610074451122
"205","Nils Arrigo","TD0801",0.145434384074358
"190","Michael König","MP0801",0.145283622981285
"231","Pilar Junier","FA1202",0.145116748894204
"225","Philipp Engel","BM0906",0.145099617957864
"82","David Margolis","IC1401",0.144810016799349
"267","Sylvain Dubey","BM0901",0.144385059309849
"259","Simone Astori","IS1203",0.142319588798523
"66","Claire Rambeau","TD0902",0.140662606053813
"60","Christoph Dahl","BM1001",0.139193054147339
"254","Séverine Vuilleumier","BM0803",0.138960621362719
"125","Inés Wilhartitz","TU1206",0.138705417865356
"57","Christine Bichsel","IS1102",0.138493058593144
"155","Julie Stauder-Porchet","IS1007",0.138057983582592
"39","Bernd Schimanski","CM1406",0.137594717953767
"99","Eveline Geiser","BM1001",0.137161692880564
"56","Christian Schöb","ES1101",0.135206532211354
"229","Pierre-Emmanuel Courty","FA0701",0.135181739358939
"199","Nathalie Giger","IS0907",0.134711386112594
"52","Christian Appenzeller- Herzog","FA0605",0.134690422434168
"164","Laszlo Kocsis","TU1104",0.134474741352182
"134","Jan Klohs","MP1207",0.133925226217285
"196","Mira Katan","TD1006",0.133803564608217
"244","Ruud Van Heeswijk","TD1103",0.133787449310776
"32","Anna Malaspinas","TD0801",0.1335607934851
"139","Jean-Daniel Champagnac","ES1306",0.131344593578761
"247","Sandra Schwab","IC1207",0.130303516770982
"110","Geoffrey Ruiz","FA1003",0.129554636254238
"278","Tobias Kaufmann","ES1405",0.126730604221226
"213","Olivier Reubi","ES0804",0.126195561578259
"221","Peter-Paul Bänziger","IS1205",0.125038886789845
"185","Matthias Meier","BM1101",0.124392675291422
"184","Matthias Berking","BM1101",0.124392675291422
"113","Gilles Gasser","CM1105",0.124115569284616
"171","Maciej Kurant","FP0901",0.123364821578381
"72","Daniel Alessi","IS1408",0.12078878047726
"24","Andrea Scrima","CM1001",0.118786981161648
"121","Henrik Braband","CM0702",0.117549383000936
"6","Alessandro Barducci","CM1001",0.113155286668323
"61","Christoph Flückiger","TD1006",0.112910361576967
"44","Birgit Kleim","TD1106",0.112404345505781
"115","Gisela Michel","MP1101",0.112183571801012
"119","Gunther Martin","IS0901",0.111669963387586
"161","Kirsten Taylor","BM0604",0.110450773412641
"217","Paolo Crivelli","MP1001",0.108823479697017
"23","Andrea Samson","IC0601",0.107666156925255
"95","Enrique Lara","BM1102",0.106364357141899
"127","Ivan Foletti","IS1205",0.105311418246676
"238","Roger Kouyos","BM0906",0.105236661513158
"183","Martine Maan","ES1302",0.105161656225633
"142","Jean-Pascal Pfister","CM1306",0.105108922968646
"279","Tomoko Ariga","FA1001",0.104564370331261
"282","Valentina Ponzetto","IS0901",0.10396145853959
"86","Dominik Schöbi","IS1405",0.102859322825143
"258","Simona Spinelli","BM0606",0.102569830460438
"236","Ritwick Sawarkar","BM0901",0.102172319928624
"174","Marco Nievergelt","IS1404",0.101244866773692
"230","Pierre Valla","ES0907",0.101198739602802
"178","Marion Tegethoff","IS1406",0.100547076157959
"20","Andrea Burri","TD1005",0.0994568507350893
"265","Susanne Skora","IC1002",0.0994057971191495
"4","Ajay Ramadoss","MP1006",0.0989686320223797
"83","Delphine Faivre-Carron","IS1407",0.0988478760298943
"287","Veronika Job Sutnar","TU1203",0.0987967445205713
"240","Rolf Kümmerli","BM1102",0.0980881548452575
"154","Julian Fink","BM0907",0.097396722661483
"9","Alexander Monin","MP1006",0.0961226638970753
"251","Saskia Walentowitz","IS1301",0.0960884931905397
"88","Edith Joseph","TD0902",0.0933747321488205
"129","Jaiyul Yoo","MP1210",0.0927097388280278
"90","Elisa Andretta","IS1409",0.092617833726764
"13","Alina Deac","CM1305",0.0924886401922565
"126","Ioana Latu","IS0901",0.0903249858133722
"223","Petra Schmid","IS1301",0.0880145763622052
"25","Andrea Surroca Ortiz","IC1104",0.0876364375350123
"111","Georg Modestin","IS0901",0.0849548901355423
"232","Rachel Mader","CM1201",0.0848468829653127
"34","Anna Spycher","BM0802",0.0838660704984155
"120","Henning Jessen","ES1402",0.0815918662285687
"284","Valéry Berlincourt","IS1308",0.0804501755079116
"194","Michelle Bucher-Karlsson","TU0901",0.0803257552271232
"31","Anna Izzo","IC1206",0.0800479186804887
"35","Antoinina Bevan Zlatar","IS0901",0.0763528539100318
"27","Andreas Stauder","IS1006",0.0756190032232828
"168","Luc van Dongen","IS1007",0.0710875470989944
"75","Daniel Staub","BM1205",0.0703724557635643
"286","Veronica Savu","MP1402",0.0702824716899629
"36","Bechara Saab","TD0904",0.0687356377554668
"91","Elisa Brilli","IS1005",0.0667812344294347
"226","Philipp Felsch","IS0906",0.0661826649157204
"159","Kelly Tan","FP1206",0.0660317235230147
"234","Reto Schuepbach","CM1207",0.065137122308915
"211","Oliver Hahn","CM1401",0.0636910682758728
"187","Max Lieberman","IS1005",0.0624244436897719
"69","Cristiano Castelletti","IS1007",0.0621052590371457
"49","Caspar Battegay","IS0901",0.059528446968003
"271","Tatjana Aue","TU1303",0.0586299370179544
