PI,Start Date, Title, Path
Jan Kool,01.01.2008,Beschwerdevalidierungstests (BVT) in der IV-Abklrung,Corpora/zhaw/projekt-detail_1288.txt
Jürgen Schumacher,01.01.2008,BMBF Verbundprojekt: Aufskalierbare Farbstoffsolarzellen (FSZ-Industrie),Corpora/zhaw/projekt-detail_1289.txt
: ,of project,ProbSec,Corpora/zhaw/projekt-detail_129.txt
Nicole Locher Oberholzer,01.01.2008,Bodenkundliche Baubegleitung Deponie Seichtenboden,Corpora/zhaw/projekt-detail_1290.txt
Projektteam: ,01.01.2008,COST: Learning to Write Effectively,Corpora/zhaw/projekt-detail_1291.txt
Rosmarie Ernst,01.01.2008,DaF-bungen auf DVD,Corpora/zhaw/projekt-detail_1292.txt
Kurt Pärli,01.01.2008,Diskriminierung von Diabetes-Patienten/innen,Corpora/zhaw/projekt-detail_1293.txt
Thomas Keller,01.01.2008,Einfhrung SW Engineering in KMU,Corpora/zhaw/projekt-detail_1294.txt
Tilo Hühn,01.01.2008,Einsatz der Dekantertechnologie zur Entsaftung von Rotweintraubenmaische,Corpora/zhaw/projekt-detail_1295.txt
Tilo Hühn,01.01.2008,Einsatz der Dekantertechnologie zur Entsaftung von Rotweintraubenmaische,Corpora/zhaw/projekt-detail_1296.txt
Thomas Keller,01.01.2008,Elektronische Kostengrundsprache,Corpora/zhaw/projekt-detail_1297.txt
Kurt Pärli,01.01.2008,EU-rechtliche Aspekte der bernahme von Dolmetschkosten in der medizinischen Behandlung,Corpora/zhaw/projekt-detail_1298.txt
Andreas Bergmann,01.01.2008,"Expertengutachten im Bereich der ffentlichen Rechnungslegung, HRM2 und IPSAS",Corpora/zhaw/projekt-detail_1299.txt
Peter Rüesch,01.04.2014,PROCET Prostate Cancer E-Health Tutorial,Corpora/zhaw/projekt-detail_130.txt
Jürg Schlegel,01.01.2008,Flagship species im angewandten Naturschutz,Corpora/zhaw/projekt-detail_1300.txt
Nicole Locher Oberholzer,01.01.2008,Forum Umweltbaubegleitung,Corpora/zhaw/projekt-detail_1301.txt
Urs Brügger,01.01.2008,Health Literacy,Corpora/zhaw/projekt-detail_1302.txt
Daniel von Felten ,01.01.2008,Image und Bekanntheit der FM Branche,Corpora/zhaw/projekt-detail_1303.txt
Projektteam: ,01.01.2008,Implementation of International Public Sector Accounting Standards (IPSAS),Corpora/zhaw/projekt-detail_1304.txt
,,Journalisten-Enqute 2008,Corpora/zhaw/projekt-detail_1305.txt
Andreas Abegg,01.01.2008,Kommentierung der Art. 19-31 OR im Zrcher Kommentar,Corpora/zhaw/projekt-detail_1306.txt
Jan Kool,01.01.2008,Kulturelle Faktoren bei Rckenschmerzen,Corpora/zhaw/projekt-detail_1307.txt
Jan Kool,01.01.2008,Physiotherapie bei Rckenschmerzen: eine Metaanalyse,Corpora/zhaw/projekt-detail_1308.txt
Roland Graf,01.01.2008,Qualifizierung von Brut- und Aufzuchtslebensrumen des Auerhuhns,Corpora/zhaw/projekt-detail_1309.txt
Vinzenz Wyss,01.04.2014,Radar Medienkritik Schweiz,Corpora/zhaw/projekt-detail_131.txt
Reto Schleiniger,01.01.2008,Regionale Preis- und Mengenunterschiede der OKP Gesundheitsleistungen,Corpora/zhaw/projekt-detail_1310.txt
Kurt Pärli,01.01.2008,Revision Arbeitsgesetz,Corpora/zhaw/projekt-detail_1311.txt
Thomas Keller,01.01.2008,SOA Roadmap,Corpora/zhaw/projekt-detail_1312.txt
Beate Sick,01.01.2008,Statistik in der angewandten Linguistik,Corpora/zhaw/projekt-detail_1313.txt
Bertil Krüsi,01.01.2008,Vegetationskundliche Gutachten zu Beschneiungs- und Bauprojekten in den Hochalpen,Corpora/zhaw/projekt-detail_1314.txt
Sylvia Manchen Spörri,01.01.2008,Viewpoint: Einstieg in technische und wirtschafltiche Arbeitsbereiche. Ein Sensibilisierungsfilm mit Informationen und Material fr den Einsatz in Aus- und Weiterbildung und Betrieben.,Corpora/zhaw/projekt-detail_1315.txt
,,Vorkurs Energie,Corpora/zhaw/projekt-detail_1316.txt
Hanspeter Hongler,01.01.2008,Weststrasse (Zrich) im Wandel,Corpora/zhaw/projekt-detail_1317.txt
Jürg Grunder,01.01.2008,Workshop und Tagung,Corpora/zhaw/projekt-detail_1318.txt
Roland Gassmann,01.01.2008,Zrich Park Side,Corpora/zhaw/projekt-detail_1319.txt
Projektteam: ,01.04.2014,Schweizer Multi-Stakeholder Plattform fr nachhaltige Rohstoffbeschaffung fr private Unternehmen,Corpora/zhaw/projekt-detail_132.txt
Marcel Dettling,12.12.2007,Untersuchungen zur KEP der SBB,Corpora/zhaw/projekt-detail_1320.txt
Bruno Seger,01.12.2007,Erforschung und Publikation der Geschichte der Schweizerischen Kulturstiftung Pro Helvetia,Corpora/zhaw/projekt-detail_1321.txt
Daniel Imhof,01.12.2007,Fachexpertise &quot;Neuropsychologische Diagnostik&quot; zu Handen der SVNP,Corpora/zhaw/projekt-detail_1322.txt
Früh Peter,01.12.2007,Machbarkeitsstudie PMA,Corpora/zhaw/projekt-detail_1323.txt
Ursula Graf-Hausner,01.12.2007,SMART BIOMATERIAL,Corpora/zhaw/projekt-detail_1324.txt
Jennifer Erlemann,15.11.2007,"Integration des Corporate Designs im Zuge eines Website-Relaunches, sowie Implementierung eines Content Management Systems",Corpora/zhaw/projekt-detail_1325.txt
Corinne Gantenbein-Demarchi,12.11.2007,Verderbsbild Fadenziehen in Backwaren,Corpora/zhaw/projekt-detail_1326.txt
Peter Stücheli-Herlach,08.11.2007,Key Note IAM: Kommunizieren Behrden an der Jugend vorbei?,Corpora/zhaw/projekt-detail_1327.txt
Christiane Zaborosch,01.11.2007,Entwicklung einer funktionalisierten Collagenmembran zur Regeneration von Knochendefekten,Corpora/zhaw/projekt-detail_1328.txt
Wolfgang Schmidberger,01.11.2007,Lernwerkzeug Haushaltstechnik,Corpora/zhaw/projekt-detail_1329.txt
Projektteam: ,01.04.2014,Umweltfreundliche Tourismusinfrastrukturen,Corpora/zhaw/projekt-detail_133.txt
Bruno Seger,01.11.2007,Stadt Winterthur: Leitbild und Evaluation der musikalischen Bildung,Corpora/zhaw/projekt-detail_1330.txt
Urs Brügger,01.11.2007,Return on Investment of Public Health Interventions in Switzerland,Corpora/zhaw/projekt-detail_1331.txt
Erika Werlen,01.10.2007,A-KSSS - Acceptability of Knowledge and Science based Security Strategy,Corpora/zhaw/projekt-detail_1332.txt
Caspar Demuth,01.10.2007,Analytik von Substraten und Metaboliten in Bioprozessen,Corpora/zhaw/projekt-detail_1333.txt
Iris Herrmann-Giovanelli,01.10.2007,Corporate Publishing Review IAM: Evaluation Mitarbeitermagazin Raiffeisen II,Corpora/zhaw/projekt-detail_1334.txt
Martin Sievers,01.10.2007,Diagnostik der chronischen Lyme-Borreliose,Corpora/zhaw/projekt-detail_1335.txt
Vinzenz Wyss,01.10.2007,Enqute Print-Journalisten 2007/08,Corpora/zhaw/projekt-detail_1336.txt
Vinzenz Wyss,01.10.2007,Leserbefragung Kunstbulletin,Corpora/zhaw/projekt-detail_1337.txt
Daniel von Felten,01.10.2007,Organisationsstrukturanalyse Infrastruktur und Hotellerie,Corpora/zhaw/projekt-detail_1338.txt
Peter Meyer,01.10.2007,Praxiszertifizierung &quot;Excellence in HR-Consulting&quot;,Corpora/zhaw/projekt-detail_1339.txt
Christoph Heitz,31.03.2014,Entwicklung einer Methodik fr optimiertes Flottenmanagement,Corpora/zhaw/projekt-detail_134.txt
Markus Roos,01.10.2007,"Signalanalyseverfahren fr berhrungslose, Infrarotsensor-basierte Schichtsystemcharakterisierung",Corpora/zhaw/projekt-detail_1340.txt
Richard Hüppi,01.10.2007,SmartP,Corpora/zhaw/projekt-detail_1341.txt
Huldreich Schildknecht,11.09.2007,"Sozial-Labor 2008 zum 100 Jahre Jubilum Ausbildung in Sozialer Arbeit, Standort Winterthur",Corpora/zhaw/projekt-detail_1342.txt
Erika Werlen,01.09.2007,ATG - Adressatenspezifische Textgestaltung,Corpora/zhaw/projekt-detail_1343.txt
Urs Baier,01.09.2007,Biogene Gterflsse der Schweiz,Corpora/zhaw/projekt-detail_1344.txt
Caspar Demuth,01.09.2007,Chemische Sensoren in der Metrologie,Corpora/zhaw/projekt-detail_1345.txt
Marcel Burkhard,01.09.2007,Einsatz von Simulationswerkzeugen in der Gterverkehrs- und Transportplanung,Corpora/zhaw/projekt-detail_1346.txt
Hanno Rahn,01.09.2007,GINES,Corpora/zhaw/projekt-detail_1347.txt
Marc Rennhard,01.09.2007,Public Key Infrastruktur for the ZHW,Corpora/zhaw/projekt-detail_1348.txt
Peter Rüesch ,01.09.2007,Stellung der muslimischen Bevlkerung im Kanton Zrich,Corpora/zhaw/projekt-detail_1349.txt
Peter Meier,28.03.2014,Multi-Asset Investment Process using Bayes Ensembles of Trading Models,Corpora/zhaw/projekt-detail_135.txt
Beate Sick,22.07.2007,Modellierung von Labordaten,Corpora/zhaw/projekt-detail_1350.txt
Marcel Dettling,20.07.2007,Kapazittsmanagement im Gterverkehr,Corpora/zhaw/projekt-detail_1351.txt
Carola Huber,17.07.2007,Vergleichende Wirkungsanalyse von Kostenbeteiligungen bei der Krankenversicherung in der Schweiz und Deutschland. Anwendung eines experimentellen Matchingmodells.,Corpora/zhaw/projekt-detail_1352.txt
Jan Kool,06.07.2007,Entwicklung eines Patientenklassifikationssystems (PCS) fr leistungsabhngige Tarife in der Rehabilitation,Corpora/zhaw/projekt-detail_1353.txt
Guido Keel,01.07.2007,Analyse Coop-Mediencorner - www.coop.ch,Corpora/zhaw/projekt-detail_1354.txt
Priska Müller Wahl,01.07.2007,Analyse LEK Prozess,Corpora/zhaw/projekt-detail_1355.txt
Vinzenz Wyss,01.07.2007,Das Bild des Schweizer Presserates II,Corpora/zhaw/projekt-detail_1356.txt
Projektteam: Claudia Klaus,01.07.2007,Evaluation Pilotprojekt Tgelmoos,Corpora/zhaw/projekt-detail_1357.txt
Beate Sick,01.07.2007,GeneChip data analysis of tumor samples,Corpora/zhaw/projekt-detail_1358.txt
Lukas Windlinger,01.07.2007,human building - optimal performance,Corpora/zhaw/projekt-detail_1359.txt
Antje Sydow,26.03.2014,Fachtagung FVK 2014,Corpora/zhaw/projekt-detail_136.txt
Thomas Weibel,01.07.2007,Kompetenzzentrum am Zrichsee,Corpora/zhaw/projekt-detail_1360.txt
,01.07.2007,Landschaft und Identitt als rumliche Entwicklungsfaktoren,Corpora/zhaw/projekt-detail_1361.txt
Priska Müller Wahl,01.07.2007,Landschaft und Identitt als rumliche Entwicklungsfaktoren,Corpora/zhaw/projekt-detail_1362.txt
Bettina Furrer,01.07.2007,Linking Carbon Strategy &amp; Financial Performance,Corpora/zhaw/projekt-detail_1363.txt
Priska Müller Wahl,01.07.2007,Neue LEK Strategie im Kanton Zrich,Corpora/zhaw/projekt-detail_1364.txt
Vinzenz Wyss,01.07.2007,NFP 58 Religionskommunikation,Corpora/zhaw/projekt-detail_1365.txt
Michael Schanne,01.07.2007,NFP 59 Grne Bio-Technologie,Corpora/zhaw/projekt-detail_1366.txt
Peter Meier,01.07.2007,Ratings Funds of Hedge Funds,Corpora/zhaw/projekt-detail_1367.txt
Vinzenz Wyss,30.06.2007,EJTA Survey,Corpora/zhaw/projekt-detail_1368.txt
Regina Zoller,25.06.2007,Selbstkontrollkonzept LM-Produktionsbetrieb fr Convenience Food,Corpora/zhaw/projekt-detail_1369.txt
Jürg Rohrer,17.03.2014,Alpenstrom KTI,Corpora/zhaw/projekt-detail_137.txt
Hans-Peter Hutter,01.06.2007,Augmented Mobile Tagging,Corpora/zhaw/projekt-detail_1370.txt
Daniel Perrin,01.06.2007,ipTS Interdisziplinres Portal: Textproduktion und Schreibforschung,Corpora/zhaw/projekt-detail_1371.txt
Jennifer Erlemann,01.06.2007,Komma-Kanone,Corpora/zhaw/projekt-detail_1372.txt
Ferenc Kiss,01.06.2007,Videostreaming,Corpora/zhaw/projekt-detail_1373.txt
Georg Furger,22.05.2007,Nachhaltigkeitskonzept fr eine Zrcher Fachhochschule,Corpora/zhaw/projekt-detail_1374.txt
Daniel von Felten,21.05.2007,FM im Bauprozess - Grobanalyse Betriebskonzept und Entwicklung eines Monitoringtools,Corpora/zhaw/projekt-detail_1375.txt
Marcel Burkhard,15.05.2007,Simulation Polizei- und Justizzentrum des Kanton Zrich,Corpora/zhaw/projekt-detail_1376.txt
Maureen Ehrensberger-Dow,09.05.2007,Natural English (NatEng),Corpora/zhaw/projekt-detail_1377.txt
Peter Meier,07.05.2007,Funds of Hedge Funds,Corpora/zhaw/projekt-detail_1378.txt
Otto Kruse,04.05.2007,Entwicklung eines Selbsteinschtzungsinstruments fr wissenschaftliche Schreibkompetenz,Corpora/zhaw/projekt-detail_1379.txt
Jürg Rohrer,17.03.2014,Alpenstrom:  Winterstrom-Optimierte PV-Anlagen in den Alpen,Corpora/zhaw/projekt-detail_138.txt
Jürg  Schlegel,01.05.2007,Besiedlung von Primrsukzessionsflchen im Gletschervorfeld Morteratsch (Pontresina GR) und im neuen Bergsturz Goldau (SZ) unter besonderer Bercksichtigung der Laufkfer (Carabidae),Corpora/zhaw/projekt-detail_1380.txt
Thomas Redmann,01.05.2007,Interkulturelle bersetzung und Vermittlung,Corpora/zhaw/projekt-detail_1381.txt
Hellmut Riediger,01.05.2007,RISK - Recherchieren und Informationsmanagement fr Sprache und Kommunikation,Corpora/zhaw/projekt-detail_1382.txt
Axel Heinrich,01.05.2007,Staudenhecken - Blickdichte Bltenpracht am laufenden Meter,Corpora/zhaw/projekt-detail_1383.txt
Peter Stücheli-Herlach,27.04.2007,Kommunikations-Audit und Konzeptions-Workshop IAM: AlpTransit Gotthard AG,Corpora/zhaw/projekt-detail_1384.txt
Andreas Hauser,19.04.2007,Kommunikations- und Diensleistungsauftritt fr die Gemeinde Oberrieden,Corpora/zhaw/projekt-detail_1385.txt
Max Mueller,16.04.2007,Mediennutzung im Tagesablauf,Corpora/zhaw/projekt-detail_1386.txt
Andreas Hauser,05.04.2007,Internetauftritt fr das Paracelsus-Spital Richterswil,Corpora/zhaw/projekt-detail_1387.txt
Jan Kool ,01.04.2007,Assessments in der Physiotherapie,Corpora/zhaw/projekt-detail_1388.txt
Markus Hubbuch,01.04.2007,"Beratung fr baubegleitendes FM Projekt Toni-Areal, 2. Phase",Corpora/zhaw/projekt-detail_1389.txt
Thomas Bergmann,11.03.2014,SpeQua - Community Energy Storage System,Corpora/zhaw/projekt-detail_139.txt
Christiane Zaborosch,01.04.2007,Machbarkeitsstudie und Methodenentwicklung zur Probenvorbereitung fr die Massenspektrometrie in der Klinischen Diagnostik,Corpora/zhaw/projekt-detail_1390.txt
Jan Kool,01.04.2007,Beurteilung der Leistungsbereitschaft im Rahmen der Begutachtung der Arbeitsfhigkeit,Corpora/zhaw/projekt-detail_1391.txt
Peter Jenni,01.04.2007,Naturgefahren im Siedlungsraum,Corpora/zhaw/projekt-detail_1392.txt
Arno van Gestel,01.04.2007,Respiratorisches Biofeedback Training (RBT) bei Patienten mit einer chronischen obstruktiven Lungenerkrankung (COPD),Corpora/zhaw/projekt-detail_1393.txt
Marcel Dettling,05.03.2007,Langfrist-Vorhersage im Fluggeschft,Corpora/zhaw/projekt-detail_1394.txt
Alireza Davishy,05.03.2007,Webaccessibility mit Typo3 CMS,Corpora/zhaw/projekt-detail_1395.txt
Ursula Graf-Hausner,01.03.2007,Entwicklung einer Kollagenmatrix als Ersatz des patienteneigenen Bindegewebstransplantates,Corpora/zhaw/projekt-detail_1396.txt
Rudolf Ernst,01.03.2007,IMMOWIN/ WIN-WIN Strategien fr die integrale Erneuerung von Wohnbauten,Corpora/zhaw/projekt-detail_1397.txt
Gerold Baudinot,01.03.2007,Projektcare,Corpora/zhaw/projekt-detail_1398.txt
Beate Sick,01.02.2007,Austrittsmanagement bei ausgewhlten Krankenhuser in der Schweiz,Corpora/zhaw/projekt-detail_1399.txt
Patrik Eschle,01.03.2014,Advanced Electronic Personal Dosemeter,Corpora/zhaw/projekt-detail_140.txt
Armin Jans,01.02.2007,EU-Binnenmarktkompass fr Schweizer KMU,Corpora/zhaw/projekt-detail_1400.txt
Armin Jans,01.02.2007,EU-Fibel fr kleine Unternehmen,Corpora/zhaw/projekt-detail_1401.txt
Angelika Viviani,01.02.2007,"Neue Extenderformulierung, Verkapselungs- und Freisetzungsmethode fr kryokonservierte Stierspermien",Corpora/zhaw/projekt-detail_1402.txt
Theresia Weiss Sampietro,01.02.2007,NFP 54_Soziodemographischer Wandel in Schweizer Stdten SDWISS,Corpora/zhaw/projekt-detail_1403.txt
Gian Gartmann,18.01.2007,Zrcher KMU Tagung 2007,Corpora/zhaw/projekt-detail_1404.txt
Iris Giovanelli,17.01.2007,Evaluation Schulblatt Kanton  Zrich,Corpora/zhaw/projekt-detail_1405.txt
Urs Baier,16.01.2007,Abwasserreinigung im Autogewerbe,Corpora/zhaw/projekt-detail_1406.txt
Markus Kunz,16.01.2007,"NFP 54, Sozialer Wandel und Stadtentwicklung",Corpora/zhaw/projekt-detail_1407.txt
Vera Luginbühl,10.01.2007,Entwicklung von Nahrungsergnzungsmitteln,Corpora/zhaw/projekt-detail_1408.txt
Andreas Meier,01.01.2007,Diplombuch School of Engineering,Corpora/zhaw/projekt-detail_1409.txt
Florian Brack,01.03.2014,Entwicklung eines neuen Aussenraumkonzepts fr das Kinderspital Zrich,Corpora/zhaw/projekt-detail_141.txt
Daniel Süss,01.01.2007,Alle Forschungsprojekte Departement Angewandte Psychologie,Corpora/zhaw/projekt-detail_1410.txt
Urs Baier,01.01.2007,Bewirtschaftung von Gastronomieabfllen im Kt AG,Corpora/zhaw/projekt-detail_1411.txt
Urs Baier,01.01.2007,Biogaspotential von Schlempen der Bioethanolproduktion aus Zuckerrben,Corpora/zhaw/projekt-detail_1412.txt
Christroph Spurk,01.01.2007,Conflict Journalism,Corpora/zhaw/projekt-detail_1413.txt
Gertrud Hofer,01.01.2007,Dolmetschen - Bestandesaufnahme und Qualittssicherung,Corpora/zhaw/projekt-detail_1414.txt
Bertil Krüsi,01.01.2007,e-Learning Grser-Seggen,Corpora/zhaw/projekt-detail_1415.txt
Thomas Järmann,01.01.2007,Entwicklung einer Operationshilfe fr den chirurgischen Herz-Bypass-Eingriff,Corpora/zhaw/projekt-detail_1416.txt
,01.01.2007,Entwicklung GMP-gerechter Produktionstechnologien fr probiotische Escherichia coli Kulturen,Corpora/zhaw/projekt-detail_1417.txt
Dieter Eibl,01.01.2007,Entwicklung GMP-gerechter Produktionstechnologien fr probiotische Escherichia coli Kulturen,Corpora/zhaw/projekt-detail_1418.txt
Hans Dermot Doran,01.01.2007,Ethernet POWERLINK for Active Oberon System,Corpora/zhaw/projekt-detail_1419.txt
Thomas Gabriel,01.03.2014,Heimplatzierungen im Kanton Zrich,Corpora/zhaw/projekt-detail_142.txt
Anita Sigg,01.01.2007,"Forschung und Entwicklung: Analyse des Entscheidungsprozesses der Unternehmensnachfolge, Entwicklung Handbuch zur Unternehmensnachfolge",Corpora/zhaw/projekt-detail_1420.txt
Nadja Ramsauer,01.01.2007,Gendergerechte technische Fachhochschulstudiengnge,Corpora/zhaw/projekt-detail_1421.txt
Jürgen Schumacher,01.01.2007,"Industry project for the Bosch group, division Energy Storage and Conversion (CR/ARC)",Corpora/zhaw/projekt-detail_1422.txt
Priska Müller Wahl,01.01.2007,Methodenentwicklung zur qualitativen Landschaftsbewertung fr die Machbarkeitsstudie Naturpark Beverin,Corpora/zhaw/projekt-detail_1423.txt
Projektteam: ,01.01.2007,Microbial production of a human membrane protein,Corpora/zhaw/projekt-detail_1424.txt
Jürgen Schumacher,01.01.2007,Model based investigation of PE fuel cell performance with focus on porous layer properties,Corpora/zhaw/projekt-detail_1425.txt
Jürgen Schumacher,01.01.2007,"Modelling, Simulation and Loss Analysis of Dye Sensitised Solar Cells",Corpora/zhaw/projekt-detail_1426.txt
Eva Frei,01.01.2007,Monitoring des TWW-Objektes Calanda bei Chur,Corpora/zhaw/projekt-detail_1427.txt
Urs Baier,01.01.2007,Nachhaltige Bewirtschaftung von Biomasse in Costa Rica,Corpora/zhaw/projekt-detail_1428.txt
Ursula Hasler,01.01.2007,Neue Website fr die ZHAW,Corpora/zhaw/projekt-detail_1429.txt
Hans-Peter Hutter,01.03.2014,Physiocasa,Corpora/zhaw/projekt-detail_143.txt
Jürg Boos,01.01.2007,ffentlichkeitsarbeit NAP-Sammlungen an der Hochschule Wdenswil,Corpora/zhaw/projekt-detail_1430.txt
Silvio Graf,01.01.2007,Personenfreizgigkeit und Wohnungsmarkt,Corpora/zhaw/projekt-detail_1431.txt
Hugo Fierz,01.01.2007,PSD - Process-oriented System Development,Corpora/zhaw/projekt-detail_1432.txt
Guido Kunz,01.01.2007,Sortenschaugarten Gemse Wdenswil,Corpora/zhaw/projekt-detail_1433.txt
Kurt Pärli,01.01.2007,Sozialversicherungsrechtliche und arbeitsrechtliche Probleme Europischer Wanderarbeitnehmenden,Corpora/zhaw/projekt-detail_1434.txt
Céline Baumngartner ,01.01.2007,Staudensichtung,Corpora/zhaw/projekt-detail_1435.txt
Max Bosshard,21.12.2006,Strategien fr eine nachhaltige Entwicklung von Einfamilienhaussiedlungen,Corpora/zhaw/projekt-detail_1436.txt
Jan Kool,19.12.2006,Backtrainer: Entwicklung eines Feedbackgerts fr Patienten mit Rckenschmerzen,Corpora/zhaw/projekt-detail_1437.txt
Peter Stücheli-Herlach,18.12.2006,Staatskanzlei Aargau,Corpora/zhaw/projekt-detail_1438.txt
Theresia Weiss Sampietro,15.12.2006,Gendergerechte technische Fachhochschulstudiengnge,Corpora/zhaw/projekt-detail_1439.txt
Patrick Krauskopf,01.03.2014,Plausibilittsberprfung der volkswirtschaftlichen Auswirkungen der Reform Altersvorsorge 2020,Corpora/zhaw/projekt-detail_144.txt
Marco Spitz,01.12.2006,Brot mit funktionellem Zusatznutzen,Corpora/zhaw/projekt-detail_1440.txt
Wolfgang Breymann,01.12.2006,COST - Physics of Risk,Corpora/zhaw/projekt-detail_1441.txt
Sandra Wilhelm Hamiti,01.12.2006,Erhebung ausserschulische Lernorte SUB,Corpora/zhaw/projekt-detail_1442.txt
Eliane Kreuzer,01.12.2006,poenix - Beratung QM,Corpora/zhaw/projekt-detail_1443.txt
Lorenz Imhof,22.11.2006,Spitex Plus: Pflege von alten Menschen (80 Jahre und lter) im ambulanten Bereich,Corpora/zhaw/projekt-detail_1444.txt
Peter Stücheli-Herlach,01.11.2006,Corporate Publishing Review IAM: Kundenmagazin von Energie Wasser Bern,Corpora/zhaw/projekt-detail_1445.txt
Vinzenz Wyss,01.11.2006,Das Bild des Schweizer Presserates I,Corpora/zhaw/projekt-detail_1446.txt
Iris Giovanelli,01.11.2006,Evaluation Mitarbeitermagazin Raiffeisen I,Corpora/zhaw/projekt-detail_1447.txt
Christoph Spurk,01.11.2006,Gurtong,Corpora/zhaw/projekt-detail_1448.txt
Kitty Cassée,01.11.2006,Kompetenzorientierte Familienarbeit KOFA,Corpora/zhaw/projekt-detail_1449.txt
Nicole Gerber,01.03.2014,"Rahmenwerk zur systematischen Sichtbarmachung von strategischen, taktischen und operativen Zusammenhngen von nicht-medizinischen Supportleistungen",Corpora/zhaw/projekt-detail_145.txt
Anna Maria Riedi,01.11.2006,Pdagogisches Konzept &quot;Kinderhaus Pilgerbrunnen&quot;,Corpora/zhaw/projekt-detail_1450.txt
Markus Hubbuch,01.11.2006,Strategie FM Toni-Areal - 1. Phase,Corpora/zhaw/projekt-detail_1451.txt
: ,of project,Simulation Logistik-Zenter LoZ der V-Zug AG,Corpora/zhaw/projekt-detail_1452.txt
Susanne Fischer,01.10.2006,&quot;Final Choice&quot; (quantitativer Teil),Corpora/zhaw/projekt-detail_1453.txt
Andreas König,01.10.2006,fp7 assistant,Corpora/zhaw/projekt-detail_1454.txt
Christoph Spurk,01.10.2006,Liberia,Corpora/zhaw/projekt-detail_1455.txt
Vinzenz Wyss,01.10.2006,Qualittsmanagement im Rundfunk,Corpora/zhaw/projekt-detail_1456.txt
Thomas Hofstetter,01.10.2006,Themenwegdatenbank,Corpora/zhaw/projekt-detail_1457.txt
Albert Steiner,01.10.2006,Verfahren zur Reisezeitschtzung auf Autobahnen,Corpora/zhaw/projekt-detail_1458.txt
Catherine Badras,08.09.2006,Mehrsprachige Technische Dokumentation in Schweizer Unternehmen,Corpora/zhaw/projekt-detail_1459.txt
Alfred Angerer,01.03.2014,SpitalPuls 2014,Corpora/zhaw/projekt-detail_146.txt
Vinzenz Wyss,01.09.2006,Aller Anfang ist Begegnung,Corpora/zhaw/projekt-detail_1460.txt
Beate Sick,01.09.2006,Expertensystem Microarrays,Corpora/zhaw/projekt-detail_1461.txt
,01.09.2006,"HECTOR: Eating out - Habits, Determinants and Recommendations for Consumers and the European Catering Sector",Corpora/zhaw/projekt-detail_1462.txt
Ursula Hasler Roumois,01.09.2006,Information Retrieval und Online-Kommunikation,Corpora/zhaw/projekt-detail_1463.txt
Guido Keel,01.09.2006,Journalistische Bewertung von Medienarbeit,Corpora/zhaw/projekt-detail_1464.txt
Roger Marti,01.09.2006,Mikroreaktor,Corpora/zhaw/projekt-detail_1465.txt
: ,of project,NOGF - Nachhaltigkeitsorientierte Gemeindefhrung,Corpora/zhaw/projekt-detail_1466.txt
Christoph Spurk,01.09.2006,Okapi,Corpora/zhaw/projekt-detail_1467.txt
Ursula Hasler Roumois,01.09.2006,Portalsuche als Kommunikationsinstrument,Corpora/zhaw/projekt-detail_1468.txt
Peter Rüesch,30.08.2006,Eval. MessInst. Psych. Ges,Corpora/zhaw/projekt-detail_1469.txt
Thomas Hofstetter,01.03.2014,Umweltbildung Rheinauen Rietheim,Corpora/zhaw/projekt-detail_147.txt
Lorenz Imhof,25.08.2006,&quot;Final Choice&quot; (qualitativer Teil),Corpora/zhaw/projekt-detail_1470.txt
Lorenz Imhof,25.08.2006,DNAR,Corpora/zhaw/projekt-detail_1471.txt
Olaf Hoenecke,25.08.2006,ParkUS,Corpora/zhaw/projekt-detail_1472.txt
Max Mueller,16.08.2006,Akzeptanzstudie Schweizer Baublatt,Corpora/zhaw/projekt-detail_1473.txt
Michael Kleinert ,07.08.2006,Untersuchungen zum PATT-Verfahren,Corpora/zhaw/projekt-detail_1474.txt
Marc Rennhard,01.08.2006,Automated Software Security Testing for Online Applications,Corpora/zhaw/projekt-detail_1475.txt
Roland Gassmann,01.08.2006,biotechlab.net  Virtuelles Biotechechnologie-Labor,Corpora/zhaw/projekt-detail_1476.txt
Gertrud Hofer,01.08.2006,Dolmetschen im Justizwesen,Corpora/zhaw/projekt-detail_1477.txt
Urs Baier,01.07.2006,Bekmpfung von Schwimmschlamm in Klranlagen mit aluminiumhaltigen Betriebsstoffen,Corpora/zhaw/projekt-detail_1478.txt
Martin  Sievers,01.07.2006,Expression und Reinigung von Membranproteinen mit Schwerpunkt hERG Kanal,Corpora/zhaw/projekt-detail_1479.txt
Anke Domschky,01.03.2014,Urban Wind Farming in der Stadt Zrich,Corpora/zhaw/projekt-detail_148.txt
Marc Rennhard,01.07.2006,Security Analysis of a Wealth Management Software Product,Corpora/zhaw/projekt-detail_1480.txt
Nathalie Baumann,01.07.2006,kologischer Ausgleich auf dem Dach: Vegetation und bodenbrtende Vgel,Corpora/zhaw/projekt-detail_1481.txt
Vinzenz Wyss,01.07.2006,Verband Schweizer Fachjournalisten,Corpora/zhaw/projekt-detail_1482.txt
Urs Baier,30.06.2006,CH4 Verluste bei der Biogasaufbereitung,Corpora/zhaw/projekt-detail_1483.txt
Rosmarie Ernst,29.06.2006,Wirksamkeit elektronischer Sprachlern-Tools,Corpora/zhaw/projekt-detail_1484.txt
Christoph Heitz,01.06.2006,EasyPlan,Corpora/zhaw/projekt-detail_1485.txt
