PI,Start Date, Title, Path
Vicente Carabias-Hütter ,01.10.2014,"PV2050: Sustainability, market deployment and interaction to the grid  the impacts of advanced photovoltaic solution",Corpora/zhaw/projekt-detail_046.txt
Urs Baier,01.10.2014,Renewable Methane Transport + Mobility,Corpora/zhaw/projekt-detail_047.txt
Karin Kovar,01.10.2014,Sciex 14.176 PEGAS,Corpora/zhaw/projekt-detail_048.txt
Flurina Meier,01.10.2014,Spital Limmattal: Koordination der Altersversorgung im Zweckverband des Spitals Limmattal,Corpora/zhaw/projekt-detail_049.txt
Petra Bättig-Frey,01.10.2014,Wirkungsevaluation &quot;Zuerich isst&quot;,Corpora/zhaw/projekt-detail_050.txt
Alfred Angerer,25.09.2014,FMH Praxiskostenbarometer,Corpora/zhaw/projekt-detail_051.txt
Thomas  Gabriel,15.09.2014,Unerwartete Abbrche von Pflegeverhltnissen im Kinder- und Jugendalter,Corpora/zhaw/projekt-detail_052.txt
Kurt Pärli,01.09.2014,Auswirkungen des EU-Arbeitsrechts auf das schweizerische Arbeitsrecht,Corpora/zhaw/projekt-detail_053.txt
Fatih Uzdilli,01.09.2014,Beekeeper,Corpora/zhaw/projekt-detail_054.txt
Peter Stücheli-Herlach,01.09.2014,Diskursanalyse zu den Sozialversicherungen,Corpora/zhaw/projekt-detail_055.txt
Liana Konstantinidou,01.09.2014,ecomundo,Corpora/zhaw/projekt-detail_056.txt
Elena Wilhelm,01.09.2014,Entwicklung zweiter Schwerpunkt ZHAW,Corpora/zhaw/projekt-detail_057.txt
Andri Färber,01.09.2014,ExpAct - Experiences keep people Active,Corpora/zhaw/projekt-detail_058.txt
Thomas Gabriel,01.09.2014,Heimalltag im Spiegel von Erlebnisberichten,Corpora/zhaw/projekt-detail_059.txt
Susanne Hofer,01.09.2014,KTI Projekt: Hospital Planning - Revisited and Reloaded (V2),Corpora/zhaw/projekt-detail_060.txt
Kurt Stockinger,01.09.2014,Market Monitoring,Corpora/zhaw/projekt-detail_061.txt
Michael Döring,01.09.2014,Monitoring Simme und Kander,Corpora/zhaw/projekt-detail_062.txt
Jürg Rohrer,01.09.2014,PVT-Solarkraftwerk linth-arena sgu,Corpora/zhaw/projekt-detail_063.txt
Urs Baier,01.09.2014,Schwermetalle in Schweizer Grngut,Corpora/zhaw/projekt-detail_064.txt
Urs Baier,01.09.2014,Schwermetalle in Schweizer Grngut,Corpora/zhaw/projekt-detail_065.txt
Gwendolin Bitter,18.08.2014,Vermittlung Tourismus- und Landschaftsqualitt - Methode und Produktentwicklung,Corpora/zhaw/projekt-detail_066.txt
Andreas Bergmann,01.08.2014,Accounting for inter-governmental organizations,Corpora/zhaw/projekt-detail_067.txt
Mark Cieliebak,01.08.2014,Automatische Generierung von Regressionstests,Corpora/zhaw/projekt-detail_068.txt
Urs Baier,01.08.2014,Biol. Hydrolyse von organischen Abfllen,Corpora/zhaw/projekt-detail_069.txt
: ,of project,Electronic Crew Flight Pad,Corpora/zhaw/projekt-detail_070.txt
Urs Baier,01.08.2014,Emissionspotential Grgut flssig,Corpora/zhaw/projekt-detail_071.txt
Alfred Angerer,01.08.2014,Lean Hospital - Transformationskonzept fr das Schweizer Gesundheitswesen,Corpora/zhaw/projekt-detail_072.txt
Merja Hoppe,01.08.2014,Mobilittskonzept Regionaler Naturpark Schaffhausen,Corpora/zhaw/projekt-detail_073.txt
Urs Baier,01.08.2014,Org. Abflle Lebensmittelindustrie CH,Corpora/zhaw/projekt-detail_074.txt
Stefan Forster,01.08.2014,Tgasa Sontgaclau Tourismus-Dienstleistungszentrum,Corpora/zhaw/projekt-detail_075.txt
Eveline Graf,31.07.2014,Machbarkeitsstudie fr die Entwicklung einer Einlegesohle fr den kyBoot mit sensomotorischen Elementen zur Aktivierung des Beckenbodens nach der Geburt,Corpora/zhaw/projekt-detail_076.txt
Gwendolin Bitter,15.07.2014,Erarbeitung Projektdossier Programmvereinbarung 2016- 2019 fr die UNESCO-Welterbe Tektonikarena Sardona,Corpora/zhaw/projekt-detail_077.txt
Petra Bättig-Frey,01.07.2014,Ausstellungskonzept &quot;nachhaltige Ernaehrung&quot;,Corpora/zhaw/projekt-detail_078.txt
Thomas Bratschi,01.07.2014,CONSUS,Corpora/zhaw/projekt-detail_079.txt
Patrick Studer,01.07.2014,Cooperation LCC and University of Freiburg (2014-2017),Corpora/zhaw/projekt-detail_080.txt
Brion Duffy,01.07.2014,COST Action FA1104  Sustainable production of high quality cherries for the European market,Corpora/zhaw/projekt-detail_081.txt
Thomas Volken,01.07.2014,Intensitt der Inanspruchnahme von Gesundheitsleistungen in der Schweizer Bevlkerung,Corpora/zhaw/projekt-detail_082.txt
Peter Marty,01.07.2014,Methodenadaption zur Wirkungsanalyse von Programmen und Projekten in der Regionalentwicklung,Corpora/zhaw/projekt-detail_083.txt
Thomas Bratschi,01.07.2014,Nachhaltigkeitsbilanzierung von Tomaten,Corpora/zhaw/projekt-detail_084.txt
Thomas Michael Bohnert,01.07.2014,SOLIDNA,Corpora/zhaw/projekt-detail_085.txt
Stephan Toggweiler,01.07.2014,Ursache und Wirkung im Vernderungsinventar fr Laufbahnberatungen VIL.,Corpora/zhaw/projekt-detail_086.txt
Kirsten Edelkraut,01.07.2014,Vegetationskartierung Skigebiet Corvatsch,Corpora/zhaw/projekt-detail_087.txt
Stephan Toggweiler,30.06.2014,Berufserkundungen: Vorbereitung auf mein erstes Beratungsgesprch.,Corpora/zhaw/projekt-detail_088.txt
Stephan Toggweiler,30.06.2014,Entscheidungsfindungen im Berufswahlprozess.,Corpora/zhaw/projekt-detail_089.txt
Fabian Danko,30.06.2014,Unternehmensbewertungen,Corpora/zhaw/projekt-detail_090.txt
Evelyn Wolfram-Schilling,15.06.2014,Sciex PLantMultitargetSkin: I. Iliescu,Corpora/zhaw/projekt-detail_091.txt
Franz Baumgartner,01.06.2014,Betriebs- und Wartungskosten von Photovoltaikanlagen,Corpora/zhaw/projekt-detail_092.txt
Peter Stücheli-Herlach,01.06.2014,Digital Content Hub,Corpora/zhaw/projekt-detail_093.txt
Anne-Kathrin Rausch Osthoff,01.06.2014,Effect of counselling during pulmonary rehabilitation on self-determined motivation towards physical activity in patients with Chronic Obstructive Pulmonary Disease,Corpora/zhaw/projekt-detail_094.txt
Florian Brack,01.06.2014,Instrumente Nachhaltigkeitsmanagement,Corpora/zhaw/projekt-detail_095.txt
Priska Müller Wahl,01.06.2014,KULTURschafftLAND,Corpora/zhaw/projekt-detail_096.txt
Stefan Forster,01.06.2014,Machbarkeitsstudie Fahrtziel Natur,Corpora/zhaw/projekt-detail_097.txt
Regula Treichler,01.06.2014,Narrative Environments als Methode fr einen effizienten Wissenstransfer,Corpora/zhaw/projekt-detail_098.txt
Jürg Schlegel,01.06.2014,"Pflege- und Unterhaltskonzept Geissau/Sihlhalden, Thalwil",Corpora/zhaw/projekt-detail_099.txt
Stephan Toggweiler,01.06.2014,Psychometrische Eigenschaften von GraphoPro.,Corpora/zhaw/projekt-detail_100.txt
Roland Gassmann,01.01.2010,Technologiedatenbank fr schweizerischen Technologietransfer,Corpora/zhaw/projekt-detail_1000.txt
Doris Tausendpfund,01.01.2010,Urban Farming Baugenossenschaft mehr als wohnen,Corpora/zhaw/projekt-detail_1001.txt
Jürg Schlegel,01.01.2010,"UVB Erweiterung Deponie Boschetta, S-chanf",Corpora/zhaw/projekt-detail_1002.txt
,,Vorkurs Hydrostatik,Corpora/zhaw/projekt-detail_1003.txt
,,Vorkurs Kalorik,Corpora/zhaw/projekt-detail_1004.txt
Hanno Rahn,01.01.2010,WebGIS Grental,Corpora/zhaw/projekt-detail_1005.txt
Pascal Ochsner,01.01.2010,WebGIS Rebberg Halbinsel Au,Corpora/zhaw/projekt-detail_1006.txt
Anita Sigg,01.01.2010,Weiterbildung: Aufbau Weiterbildungskurs fr Experten &quot;Beratung von Unternehmern in der Nachfolge&quot;,Corpora/zhaw/projekt-detail_1007.txt
Urs Baier,01.01.2010,ZHAW Versuchs-Biogasanlage,Corpora/zhaw/projekt-detail_1008.txt
Daniel Perrin,07.12.2009,Schreibwerkstatt IAM: Sicherheitsdirektion des Kantons Zrich,Corpora/zhaw/projekt-detail_1009.txt
Frei Eva,01.06.2014,Vegetations Kartierung Mauntschas St. Moritz,Corpora/zhaw/projekt-detail_101.txt
Ursula Graf-Hausner,01.12.2009,AGE im Hautmodell,Corpora/zhaw/projekt-detail_1010.txt
Christian Coenen,01.12.2009,FM Servicekultur,Corpora/zhaw/projekt-detail_1011.txt
: ,of project,IT-Security im Bereich Verkehrstelematik,Corpora/zhaw/projekt-detail_1012.txt
Caspar Demuth,01.12.2009,Online-Bioprozessanalytik,Corpora/zhaw/projekt-detail_1013.txt
Catherine Badras,01.12.2009,Verifizierung der Benutzerschnittstelle eines Gertes aus dem Bereich Medizintechnik,Corpora/zhaw/projekt-detail_1014.txt
Stefan Forster,01.12.2009,Zukunftskonferenz Guarda,Corpora/zhaw/projekt-detail_1015.txt
Lorenz Imhof,30.11.2009,Leila - Leben mit Langzeiterkrankung,Corpora/zhaw/projekt-detail_1016.txt
: ,of project,Evaluation und Bestandesaufnahme Wchnerinnen in der Schweiz,Corpora/zhaw/projekt-detail_1017.txt
Roland Graf,20.11.2009,Analyse der Schalenwildsituation im Gebiet Pilatus (Wildraum 5),Corpora/zhaw/projekt-detail_1018.txt
Lorenz Imhof,10.11.2009,Teilevaluation des Nanda-Projekts (Einfhrung der Pflegediagnosen),Corpora/zhaw/projekt-detail_1019.txt
Peter Rüesch,15.05.2014,Profile von jungen IV-Neurentenbeziehenden mit psychischen Krankheiten,Corpora/zhaw/projekt-detail_102.txt
: ,of project,Automated Software Security Testing 2,Corpora/zhaw/projekt-detail_1020.txt
Sylvie Kobi,01.11.2009,Bestandesaufnahme hindernisfreie Hochschule,Corpora/zhaw/projekt-detail_1021.txt
Lorenz Imhof,01.11.2009,Definition des Begriffs Rehabilitationspflege,Corpora/zhaw/projekt-detail_1022.txt
Sylvie Kobi,01.11.2009,Niederschwellig integriert? Eine Evaluation von Angeboten der Fachstelle fr Integrationsfragen des Kantons Zrich,Corpora/zhaw/projekt-detail_1023.txt
Jacqueline Lutz,01.11.2009,Online-Adventskalender fr Studierende und Staff der SML,Corpora/zhaw/projekt-detail_1024.txt
Urs Baier,01.11.2009,Optimierung der Vergrung,Corpora/zhaw/projekt-detail_1025.txt
Roland Graf,01.11.2009,Systematische Erhebung der Schafalpen in den Steinbockkolonien und den Eidg. Jagdbanngebieten,Corpora/zhaw/projekt-detail_1026.txt
Peter Meier,01.10.2009,Ausbildung Alternative Investments,Corpora/zhaw/projekt-detail_1027.txt
Helge Kaul,01.10.2009,Best Practice in Customer Interaction,Corpora/zhaw/projekt-detail_1028.txt
Stephanie Mathes,01.10.2009,Beurteilung der Wirkung von PDGF bei der Wundheilung,Corpora/zhaw/projekt-detail_1029.txt
Kurt Stockinger,13.05.2014,Big Data Query Processing,Corpora/zhaw/projekt-detail_103.txt
Holger Auerbach,01.10.2009,Coaching KZU Krankenheimverband Zricher Unterland,Corpora/zhaw/projekt-detail_1030.txt
Thomas Volken,01.10.2009,Gesundheitsmonitoring der Migrationsbevlkerung,Corpora/zhaw/projekt-detail_1031.txt
Nadja Ramsauer,01.10.2009,Ingenieurabsolventinnen im Beruf,Corpora/zhaw/projekt-detail_1032.txt
Thea Weiss Sampietro,01.10.2009,Ingenieurabsolventinnen im Beruf,Corpora/zhaw/projekt-detail_1033.txt
Markus Hubbuch,01.10.2009,Optimierung von Erdwrmesonden,Corpora/zhaw/projekt-detail_1034.txt
Hannu Luomajoki,01.10.2009,Rckenstudie: Effektivitt der Physiotherapie bei Schmerzen in der Lendenwirbelsule,Corpora/zhaw/projekt-detail_1035.txt
Thomas Gabriel,01.10.2009,Salute - Kompetente Freiwillige Gesundheitsnetz 2025,Corpora/zhaw/projekt-detail_1036.txt
Peter Rüesch,01.10.2009,Salute - Kompetente Freiwillige Gesundheitsnetz 2025,Corpora/zhaw/projekt-detail_1037.txt
Aleksandra Gnach,01.10.2009,Schreibwerkstatt IAM: Onlineredaktion UVEK,Corpora/zhaw/projekt-detail_1038.txt
Romy Mahrer Imhof,01.09.2009,Arbeitsorganisation und Zusammenarbeit von dipl. Pflegenden und Fachangestellte Gesundheit (FAGE),Corpora/zhaw/projekt-detail_1039.txt
Martin Geilhausen,13.05.2014,Szenarien-Visualisierung in der Raumplanung II,Corpora/zhaw/projekt-detail_104.txt
Colette Schneider,01.09.2009,Corporate Publishing Code IAM: Fragile Suisse,Corpora/zhaw/projekt-detail_1040.txt
Mandy Scheermesser,01.09.2009,Elektronischer Datenaustausch (eDA) in der Physiotherapie,Corpora/zhaw/projekt-detail_1041.txt
Christiane Zaborosch,01.09.2009,Establishment of a robust GMP-ready technology platform for large-scale Transient Gene Expression for the manufacture of clinical grade protein pharmaceuticals,Corpora/zhaw/projekt-detail_1042.txt
Projektteam: Christian von Moos,01.09.2009,Evaluation der Einsatzmglichkeiten &quot;GFK-Trger&quot;,Corpora/zhaw/projekt-detail_1043.txt
Nadja Ramsauer,01.09.2009,Fachhochschulstudiengnge fr Frauen und Mnner attraktiv gestalten,Corpora/zhaw/projekt-detail_1044.txt
: ,of project,G-e-velopment  Kommunikation fr Berufseinsteigerinnen in wirtschaftlichen und technischen Berufsfeldern,Corpora/zhaw/projekt-detail_1045.txt
Stefan Forster,01.09.2009,Impulsprogramm &quot;Enjoy Switzerland in Partnerschaft mit der Schweizer Berghilfe&quot;,Corpora/zhaw/projekt-detail_1046.txt
Janice Sych  ,01.09.2009,Multifunctional bakery bioingredients,Corpora/zhaw/projekt-detail_1047.txt
Lorenz Imhof,01.09.2009,Pflegebedrfnisse &amp; Untersttzungsbedarf Angehriger lterer Krebspatienten mit ambulanter Therapie,Corpora/zhaw/projekt-detail_1048.txt
Daniel von Felten ,01.09.2009,Salrstudie 2010 FM Branche,Corpora/zhaw/projekt-detail_1049.txt
Nicole Gerber,08.05.2014,LemoS goes F&amp;A / KoKoS,Corpora/zhaw/projekt-detail_105.txt
Caesar Aurel Roth,01.09.2009,Swiss Music Awards 2010,Corpora/zhaw/projekt-detail_1050.txt
Chahan Yeretzian,01.09.2009,Vergleich von drei Vollautomatischen Brheinheiten : Extraktion und Kaffeearoma,Corpora/zhaw/projekt-detail_1051.txt
Angélique Thabar und Jörg Keller,01.09.2009,Zu Wort kommen (2009-2010),Corpora/zhaw/projekt-detail_1052.txt
Michael Schanne,15.08.2009,Enabling Health Communication - Feasibility Study,Corpora/zhaw/projekt-detail_1053.txt
Julie Page,01.08.2009,Cross cultural adaptation and validation of the PEDI (Pediatric Evaluation Disability Inventory) for the German-speaking part of Europe,Corpora/zhaw/projekt-detail_1054.txt
Patrick Studer,01.08.2009,EMI English-medium instruction in Higher Education (2009-2010),Corpora/zhaw/projekt-detail_1055.txt
Carmen Koch,01.08.2009,Evaluation des Informationskanals Channel One,Corpora/zhaw/projekt-detail_1056.txt
Esther  Forrer Kasteel,01.08.2009,Evaluation Tagesschulen und Schlerclubs der Stadt Zrich,Corpora/zhaw/projekt-detail_1057.txt
Simon Wieser,01.08.2009,Gesundheitskonomische Aspekte der KoLe Statistik,Corpora/zhaw/projekt-detail_1058.txt
Colette Schneider,01.08.2009,Kommunikations-Kompass IAM: CVP/EVP-Fraktion Baselland,Corpora/zhaw/projekt-detail_1059.txt
Patrick Tschirky,07.05.2014,Im Fokus: Sprache der &quot;Tagesschau&quot;,Corpora/zhaw/projekt-detail_106.txt
Jacqueline Javor Qvortrup,01.08.2009,Lancierung und Durchfhrung eines Fingerfoodwettbewerbes zur Verminderung der Abfallmenge bei Grossanlssen,Corpora/zhaw/projekt-detail_1060.txt
Rebecca Göpfert,01.08.2009,Leitfaden Agrotourismus in Graubnden,Corpora/zhaw/projekt-detail_1061.txt
Beate Sick,01.08.2009,Translation processes,Corpora/zhaw/projekt-detail_1062.txt
Herbert Winistörfer,01.08.2009,Wertsteigerung von Unternehmen durch den Einbezug sozialer Themen in Schlsselprozesse,Corpora/zhaw/projekt-detail_1063.txt
André Schibli,15.07.2009,Media Quality Training IAM: Jugendradio Music First,Corpora/zhaw/projekt-detail_1064.txt
Roland Gassmann,06.07.2009,Daten-Visualisierung mit Web 2.0-Technologie des Boden-Messnetzes der Ostschweizer Kantone,Corpora/zhaw/projekt-detail_1065.txt
Holger Auerbach,01.07.2009,Alterskonzept Rapperswil-Jona,Corpora/zhaw/projekt-detail_1066.txt
Beate Sick,01.07.2009,Automatisierte Erkennung von Fahrzeugklassen,Corpora/zhaw/projekt-detail_1067.txt
Markus Thaler,01.07.2009,Computer-Based Surgical Simulation of Knee Arthroscopy,Corpora/zhaw/projekt-detail_1068.txt
Reto Hagenbuch,01.07.2009,Finalistenpreis 2009 Heinrich und Erna Walder-Stiftung,Corpora/zhaw/projekt-detail_1069.txt
Manuel Babbi,01.05.2014,ALL-EMA,Corpora/zhaw/projekt-detail_107.txt
Nicole Rosenberger,01.07.2009,Framework der Kommunikationsleitung,Corpora/zhaw/projekt-detail_1070.txt
Projektteam: ,01.07.2009,FVK PSM Brckentrger,Corpora/zhaw/projekt-detail_1071.txt
Theresia Weiss Sampietro,01.07.2009,Genderkompetenz in den Fachkulturen und in der Lehre,Corpora/zhaw/projekt-detail_1072.txt
Katharina Urbahn,01.07.2009,Kommunikations-Audit IAM: Verband fr Finanzdienstleister,Corpora/zhaw/projekt-detail_1073.txt
Peter Meier,01.07.2009,Land Banking,Corpora/zhaw/projekt-detail_1074.txt
Tatiana Starostina,01.07.2009,Personenflusssimulation Strafjustizzentrum Basel-Landschaft,Corpora/zhaw/projekt-detail_1075.txt
Klaus Robin,01.07.2009,Prventionsprojekt Kormoran - Berufsfischerei,Corpora/zhaw/projekt-detail_1076.txt
Aleksandra Gnach,01.07.2009,Schreibwerkstatt IAM: insieme Schweiz,Corpora/zhaw/projekt-detail_1077.txt
Holger Auerbach,01.07.2009,Verbundlsungen fr integrierte Pflege und Betreuung,Corpora/zhaw/projekt-detail_1078.txt
Nicole Rosenberger,10.06.2009,Workshop Konzeptmethodik,Corpora/zhaw/projekt-detail_1079.txt
Dieter Eibl,01.05.2014,Etablierung eines scale-down Bioreaktors,Corpora/zhaw/projekt-detail_108.txt
