"Name","Vorname","Gastinstitution","Disziplin","Titel Projekt","Jahr"
"Jessen","Henning","Universität Zürich","Organic Chemistry","Dissection of Inositol-Phosphate Dependent Signaling Pathways with Novel Chemical Tools",2011
"Braband","Henrik","Universität Zürich","Inorganic Chemistry","Technetium Chemistry at High Oxidation States: New Perspectives for Nanomaterials and Polyoxometalates in Medicine and Environmental Science",2009
"Yanagisawa","Hirofumi","ETH Zürich","Condensed Matter Physics","Spatio-temporal Control of Coherent Electron Emission",2010
"Mercier","Hugo","Université de Neuchâtel","Psychology","Reasoning in its social, cultural and argumentative context",2012
"Voets","Ilja","Université de Fribourg","Physical Chemistry","Antifreeze proteins in solution and at interfaces",2010
"Wilhartitz","Inés","EAWAG Dübendorf","Hydrology, Limnology, Glaciology","Microbial communities inherent to karstic aquifers - ecological driving forces in the depth",2010
"Latu","Ioana","Université de Neuchâtel","Psychology","Implicit gender stereotypes in the workplace context: communication, behavioral confirmation, and detection",2012
"Foletti","Ivan","Université de Lausanne","Visual arts and Art history","The Dead and Their Bodies as Places of “Ethno-Gatherings” and of contact: the Case of Ambrose, Gervasius and Protasius in the Early Middle Ages (397-950). Romans, Byzantines, Lombards and Carolingians in the Face of the Milanese Cult of Relics.",2013
"Krol","Jacek","FMI Basel","Molecular Biology","Regulatory function of microRNAs in mouse retinal neurons",2011
"Yoo","Jaiyul","Universität Zürich","Astronomy, Astrophysics and Spatial Sciences","Cosmological Probes of Dark Sector of the Universe",2010
"Cakareski","Jakov","EPF Lausanne","Information Sciences","YouStream: Context-Aware Distributed Media Delivery",2009
"Storey","James William","Universität Bern","Particle Physics","First Measurement of the Free-Fall of Antimatter with an Antihydrogen Beam",2012
"Cvengros","Jan","ETH Zürich","Organic Chemistry","Tröger's base inspired organocatalysts for asymmetric dual catalysis",2010
"Dreiser","Jan","EPF Lausanne","Condensed Matter Physics","Magnetic and Optical Investigations of Surface-Deposited Single-Ion Magnets",2012
"Engelstädter","Jan","ETH Zürich","Ecology","Why do bacteria have sex? Theoretical and experimental investigations into the evolution of bacterial transformation",2010
"Gründemann","Jan","FMI Basel","Neurophysiology and Brain Research","Mapping the neuronal code of fear",2014
"Klohs","Jan","ETH Zürich","Neurophysiology and Brain Research","Molecular imaging of neutrophil protease-mediated blood-brain barrier impairment and thrombosis after cerebral ischemia",2011
"Pachlopnik Schmid","Jana","Universität Zürich","Paediatrics","Immune tolerance in flaky skin mutant mice",2011
"Lobmaier","Janek","Universität Bern","Psychology","Processing the “Social” Face",2008
"Mercer","Jason","ETH Zürich","Cellular Biology, Cytology","Cell biology of poxvirus infection",2010
"Slowik","Jay","PSI Villigen","Climatology. Atmospherical Chemistry, Aeronomoy","Production and Processing of Atmospheric Aerosols from Biogenic and Biomass Burning Sources",2010
"Champagnac","Jean-Daniel","ETH Zürich","Geology","Glacial Carving versus Tectonic Forcing. Documenting their Relative Contribution to Relief Formation",2009
"Gerber","Jean-David","Université de Lausanne","Social geography and ecology","The land use strategies of local authorities in the aftermath of new public management. Impacts on spatial development and sustainability",2010
