"Name","Vorname","Gastinstitution","Disziplin","Titel Projekt","Jahr"
"Lachat","Romain","Universität Zürich","Political Sciences","Contextual factors and the spatial model of electoral competition",2008
"Kuznets","Roman","Universität Bern","Information Sciences","Refining Reasoning via Justification Extraction: A Proof-Theoretic Approach",2010
"Van Heeswijk","Ruud","Université de Lausanne","Cardiovascular Research","Molecular Imaging of Perfluorocarbons for the Quantitative Characterization of Atherosclerosis Progression",2014
"Bachmann","Ruxandra","Universität Zürich","Genetics","Understanding genetic modifiers in ciliopathies using the zebrafish model",2012
"Abiven","Samuel","Universität Zürich","Pedology","Physical, molecular and microbial evidence of char degradation",2008
"Wüst","Samuel","Universität Zürich","Botany","Genetics to Ecology",2013
"Schwab","Sandra","Universität Zürich","Romance languages and literature","Prosody acquisition in a second language: the study of stress perception with behavioral and electrophysiological methods",2013
"Zufferey","Sandrine","Université de Fribourg","German and English languages and literature","MULDIS - Discourse Connectives: From Multiple Languages to Multilingual Minds",2013
"Fernandez Gonzalez","Santiago","Università della Svizzera italiana","Medical Microbiology","Intravital imaging of polymicrobial respiratory diseases (IMPORED)",2013
"Mitri","Sara","Université de Lausanne","Experimental Microbiology","The evolution of social interactions in microbial communities",2014
"Walentowitz","Saskia","Universität Bern","Ethnology","Feeding dilemmas. Anthropological perspectives on infant feeding, policies and science in contexts of HIV",2008
"Schmidt","Sebastian","ETH Zürich","Theoretical Physics","Strongly correlated photons",2012
"Aybek Rusca","Selma","Université de Genève","Neurology, Psychiatry","The stress hypothesis in Conversion Disorder",2013
"Klopfstein","Seraina","Universität Bern","Zoology","Phylogeny, total-evidence dating, and the impact of parasitoid lifestyle on the diversification of pimpliforme parasitoid wasps (Hymenoptera, Ichneumonidae)",2014
"Rasmann","Sergio","Université de Lausanne","Ecology","A phylogenetic study on altitudinal gradients of plant defenses against herbivores: testing classic hypotheses with contemporary methods",2010
"Vuilleumier","Séverine","Université de Lausanne","Ecology","Dynamique des gènes en métapopulations hétérogènes",2008
"Stringhini","Silvia","Université de Lausanne","Cardiovascular Research","Socioeconomic status and cardio-metabolic disease: an epidemiological perspective on the biology of social adversity",2013
"Ionta","Silvio","Université de Lausanne","Psychology","Validation of a Model of Sensorimotor Integration with Clinical Benefits",2013
"Krattinger","Simon","Universität Zürich","Genetics","Functional characterization of broad-spectrum disease resistance in cereals",2014
"Nigg","Simon","Universität Basel","Theoretical Physics","Quantum information processing with superconducting qubits and molecular magnets",2013
"Spinelli","Simona","Universität Zürich / ETH Zürich","Neurophysiology and Brain Research","Human and mouse-model study of serotonin transporter involvement in abnormal negative feedback processing in depression: translational neural imaging and neuropsychological testing.",2009
"Astori","Simone","Université de Lausanne","Neurophysiology and Brain Research","Cellular mechanisms underlying sleep regulation: a role for synaptic plasticity within sleep-wave generating circuits?",2011
"de Seigneux Matthey","Sophie","Université de Genève","Pathophysiology","Kidney Tubular Cells are Major Actors in Chronic Kidney Disease (CKD) Progression: Potential Therapeutic Targets and Prognosis Markers",2012
"Höfler","Stefan","Universität Zürich","German and English languages and literature","The textual structure of articles of law - Text-linguistic models in the service of legislation",2014
"Lüpold","Stefan","Universität Zürich","Ecology","Genetic variation in quality and sexual selection on condition-dependent traits",2014
"Tilg","Stefan","Universität Zürich","Ancient History and Classical Studies","Apuleius and the Ancient Novel",2008
"Dagron","Stéphanie","Universität Zürich","Legal Sciences","Essai de systématisation des politiques de régulation touchant à la mise sur le marché et au suivi des médicaments",2008
"Blanchet","Steve","EPF Lausanne","Theoretical Physics","Probing the origin of matter at the Large Hadron Collider",2011
"Skora","Susanne","ETH Zürich","Mineralogy","Adakite Petrogenesis: An experimental study on mantle metasomatism",2012
"Pichon","Swann","Université de Genève","Psychology","Impact of prosocial and violent videogames on pain perception: Investigating short- and long-term emotional changes",2013
"Dubey","Sylvain","Université de Lausanne","Ecology","The evolution of colour polymorphism in ectothermic vertebrates: A study on asp vipers",2011
"Fachard","Sylvian","Université de Genève","Archaeology","Les frontières de l'Attique. Etude du paysage frontalier d’une cité grecque : archéologie et géographie historique.",2012
"Lewinsky","Tamar","Universität Basel","History in general","Weltsprache Jiddisch. Jüdische Transmigranten aus Osteuropa im 19. und 20. Jahrhundert und die Entstehung transnationaler jiddischer Räume",2011
"Gabrecht","Tanja","EPF Lausanne","Other disciplines of Physics","Instrumental developments, optimisation and evaluation of photodynamic therapy of the Crohn's disease",2008
"Stadler","Tanja","ETH Zürich","Infectious Diseases","Estimating epidemiological and evolutionary parameters from viral sequence data using phylogenetic methods",2011
"Fragos","Tassos","Université de Genève","Astronomy, Astrophysics and Spatial Sciences","The Origin of Stellar-Mass Black Hole Spin",2013
"Aue","Tatjana","Université de Genève","Psychology","Neural and somatovisceral processes associated with expectancy bias in spider phobia",2008
"Berger","Thomas","Universität Bern","Psychology","Internet-based psychotherapy: The evaluation of internet-based interventions for social phobia, panic disorder and/or agoraphobia and generalized anxiety disorder",2010
"Frölicher","Thomas","ETH Zürich","Oceanography","Anthropogenic carbon and heat uptake by the Southern Ocean",2012
"Schmidt","Thomas","Universität Basel","Condensed Matter Physics","Quantum effects in nanomechanical and optomechanical systems",2011
"Schultz","Thomas","IHEID Genève","Legal sciences","The Ethics of Transnational Business Law",2010
"Altwicker","Tilmann","Universität Basel","Legal Sciences","Transnational Public Security Law",2013
"Erb","Tobias","ETH Zürich","Experimental Microbiology","Reductive Carboxylases in Natural and Synthetic Microbial Pathways",2011
"Kaufmann","Tobias","ETH Zürich","Theoretical Physics","Extended Gaseous Halos as a Probe of Galaxy Formation",2009
"Ariga","Tomoko","Universität Bern","Particle Physics","Development of next generation emulsion particle detectors and readout devices",2014
"Cacchione","Trix","Universität Zürich","Psychology","Core knowledge revisited: Effects of fission, fusion and shape transformation on infants’ ability to represent inanimate and animate objects",2009
"Rimmele","Ulrike","Université de Genève","Psychology","Effects of emotion and stress on different memory stages",2011
"Laskay","Ünige","EPF Lausanne","Biochemistry","Cross-Generational Effects of Obesity and Anorexia. A Mass Spectrometry-Based Systems Biology Approach.",2013
"Ponzetto","Valentina","Université de Genève","Romance languages and literature","Le Proverbe dramatique",2010
"Simoni","Valerio","IHEID Genève","Ethnology","The Transformation of Intimate and Economic Lives in Cuban Tourism and Migration",2013
"Berlincourt","Valéry","Universität Basel","Ancient History and Classical Studies","Rewriting and self-reference in Claudian's political poems",2013
"Zikas","Vasileios","ETH Zürich","Information Sciences","Towards Practical Secure Computation",2012
"Savu","Veronica","EPF Lausanne","Material Sciences","Full-Wafer Dynamic Nanostencil Lithography",2008
"Job Sutnar","Veronika","Universität Zürich","Psychology","Implicit Theories about Willpower: Mechanisms, Replication, and Application",2010
"Cadarso Busto","Víctor Javier","PSI Villigen","Microelektronics, Optoelectronics","Optical nanowires based biosensing platform",2012
"Emery","Vincent","EPF Lausanne","Mathematics","Volume of hyperbolic manifolds and K-theory of number fields",2013
"Lam","Vincent","Université de Lausanne","Philosophy","Metaphysics of quantum field theoretic structures in dynamical spacetime",2012
"Pascoli","Vincent","Université de Genève","Neurophysiology and Brain Research","Synaptic basis of eating disorders",2014
"Dotsenko","Vladimir","Université de Genève","Mathematics","Algebra and combinatorics of shuffle operads",2011
"Ishibashi","Wakiko","ETH Zürich","Astronomy, Astrophysics and Spatial Sciences","The Role of Accreting Black Holes in Galaxy Evolution",2013
"Duba","William","Université de Fribourg","Philosophy","Francis of Marchia's Philosophical Psychology",2010
"Morin","Xavier","Université de Lausanne","Ecology","Impact des changements globaux sur la diversité en espèces ligneuses et sur la productivité forestière dans les forêts tempérées et alpines",2011
"Guan","Xueli","Universität Basel","Biochemistry","Lipidomics of host-pathogen interactions: human macrophage as a cellular system to study functional implications of lipid metabolism during infection",2011
"Burnier","Yannis","EPF Lausanne Lausanne","Theoretical Physics","Plasma de particules élémentaires à haute température dans des collisions d'ions lourds",2012
"Romanyuk","Yaroslav","EMPA Dübendorf","Microelectronics, Optoelectronics","Semi-transparent solar cells based on oxide semiconductors",2009
"Schärli","Yolanda","Universität Zürich","Molecular Biology","Robustness and evolutionary parameter drift of stripe-forming gene regulatory networks",2013
"Faenza","Yuri","EPF Lausanne","Mathematics","Tight formulations of 0-1 problems",2014
"Zajacz","Zoltán","ETH Zürich","Geochemistry","Equilibrium between silicate melts and H-O-C-S-Cl magmatic volatiles: a key to understand volcanic eruptions and ore deposit genesis",2011
